disease,scenario,model,year,epsilon,max_l_attack,avg_attack,std_attack,max_attack_idx,delta_std,sum_attack
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.4,100.9470959085993,14.713548786393249,28.1913456592456,89,3.0588659429219196,14.713548786393249
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.2,100.94939454267747,12.235667782498886,25.93913621709787,89,3.420072511963703,12.235667782498886
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.1333,100.94379390321917,10.968861117611162,24.590928564296068,89,3.658866827674167,10.968861117611162
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.1,100.92956068821141,10.00927828078184,23.494744478130613,89,3.869813629684716,10.00927828078184
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.08,100.89981818820529,9.233076963541578,22.708460313484725,89,4.036677958753118,9.233076963541578
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.5333,100.94466274026514,15.565198472421976,28.913991928591592,89,2.9528770872836727,15.565198472421976
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.2667,100.94946758098875,13.299856036717024,26.948709436918236,89,3.2524604471113046,13.299856036717024
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.1778,100.94794388040175,11.9978180837772,25.70006363054991,89,3.461085819682123,11.9978180837772
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.1333,100.94379390321917,10.968861117611162,24.590928564296068,89,3.658866827674167,10.968861117611162
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.1067,100.9340919231074,10.289726818581515,23.837769949616007,89,3.802552222632975,10.289726818581515
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.6667,100.94328386153981,16.205416136729262,29.438150183108554,89,2.8785051777279356,16.205416136729262
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.3333,100.94785844705545,13.95622687066381,27.634874905041105,89,3.147893083479194,13.95622687066381
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.2222,100.94882194265098,12.551642584210477,26.240968956784403,89,3.368670551153031,12.551642584210477
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.1667,100.94767389866365,11.624569785070415,25.32296405973826,89,3.5273557985895776,11.624569785070415
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.1333,100.94379390321917,10.968861117611162,24.590928564296068,89,3.658866827674167,10.968861117611162
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.8,100.94208854510316,16.6339491327777,29.789877081900066,89,2.830093564352099,16.6339491327777
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.4,100.9470959085993,14.713548786393249,28.1913456592456,89,3.0588659429219196,14.713548786393249
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.2667,100.94946758098875,13.299856036717024,26.948709436918236,89,3.2524604471113046,13.299856036717024
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.2,100.94939454267747,12.235667782498886,25.93913621709787,89,3.420072511963703,12.235667782498886
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.16,100.94747667250859,11.587059577872262,25.270968652186824,89,3.5360899031823823,11.587059577872262
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.0001,34.86277360710645,1.232240222231855,4.10375054913075,90,8.195072527495162,1.232240222231855
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,0.5,100.94551104575793,15.470721732046258,28.83476153486033,89,2.9642967295004437,15.470721732046258
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,1.0,100.94072795163716,17.258571104143325,30.168187945657092,89,2.773854266561622,17.258571104143325
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,10.0,100.93301211913754,16.00274330105124,30.822551952371047,89,2.7554586962599954,16.00274330105124
CHIKV,SSP1-2.6,MRI-ESM2-0,2030,100.0,100.94365828393353,12.245203588823506,28.734868444078373,89,3.086788264499218,12.245203588823506
CHIKV,SSP1-2.6,CESM2,2030,0.4,97.53323089224497,14.745134842991945,26.273510749190738,89,3.1510100359086204,14.745134842991945
CHIKV,SSP1-2.6,CESM2,2030,0.2,87.65215536976572,11.46279545870399,22.340761867104884,89,3.4103295296855975,11.46279545870399
CHIKV,SSP1-2.6,CESM2,2030,0.1333,76.88534340461733,9.576426602950614,19.433732078572245,89,3.463509557995911,9.576426602950614
CHIKV,SSP1-2.6,CESM2,2030,0.1,68.93025529500541,8.316278165957888,17.234604862229137,77,3.516992563136006,8.316278165957888
CHIKV,SSP1-2.6,CESM2,2030,0.08,62.56976313141621,7.364515710054504,15.458615240399427,77,3.5711638179006315,7.364515710054504
CHIKV,SSP1-2.6,CESM2,2030,0.5333,99.08028839142912,15.791211818418766,27.168979475913126,89,3.0655945927910526,15.791211818418766
CHIKV,SSP1-2.6,CESM2,2030,0.2667,92.79132298143716,12.774035982507487,24.11358614636099,89,3.3183486899564785,12.774035982507487
CHIKV,SSP1-2.6,CESM2,2030,0.1778,84.84613726244095,10.759665784089345,21.39874794881327,89,3.462187210932604,10.759665784089345
CHIKV,SSP1-2.6,CESM2,2030,0.1333,76.88534340461733,9.576426602950614,19.433732078572245,89,3.463509557995911,9.576426602950614
CHIKV,SSP1-2.6,CESM2,2030,0.1067,70.96275322603867,8.65667505451742,17.85319299617193,77,3.489912319039002,8.65667505451742
CHIKV,SSP1-2.6,CESM2,2030,0.6667,99.9341661494409,16.948981317370393,28.076769842447174,89,2.9556528510132027,16.948981317370393
CHIKV,SSP1-2.6,CESM2,2030,0.3333,95.27502427448091,13.862685758444947,25.207683206377418,89,3.229663664427481,13.862685758444947
